股票代码,当前Layer,最终公司名称,最终主营业务,最终Layer,最终分类理由,最终证据来源名称,最终证据URL或数据库字段,最终证据发布日期,证据是否早于2024-12-26,是否使用事件后信息,人工复核状态,审核人备注,本地候选来源是否匹配,股票简称,候选行业,候选来源Layer,候选Layer是否冲突,候选证据日期,候选证据是否早于V3事件,候选分类证据,所属概念,AI_exposure
000977,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
000988,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002049,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002281,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002371,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002463,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300223,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300308,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300394,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300474,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300476,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300502,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
600183,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
603019,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
603986,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688008,上游,澜起科技,,上游,,,,,待审核,待审核,待审核,,是,澜起科技,"电子,半导体,数字芯片设计",上游,否,,待核验,【人工智能】公司产品性能在行业内赢得高度认可，包含公司产品的服务器广泛应用于人工智能等诸多领域。,"存储芯片,中芯国际概念,芯片概念,消费电子概念,数据中心(AIDC),数据安全,人民币贬值受益,人工智能,沪股通,2026中报预增,融资融券,电子,半导体,数字芯片设计,DRAM存储,CPU",0.8
688012,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688041,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688256,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
688981,上游,,,上游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002065,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002131,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002368,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002439,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
002607,下游,中公教育,,下游,,,,,待审核,待审核,待审核,,是,中公教育,"社会服务,教育,教育Ⅲ",下游,否,,待核验,【人工智能】据公司2022年业绩说明会：公司今年成立了人工智能与教育研究院，并结合公司的业务开展情况积极布局。,"职业教育,乡村振兴,旅游概念,在线教育,虚拟数字人,AI应用,AIGC概念,DeepSeek概念,人工智能,阿里巴巴概念,百度概念,超级品牌,深股通,融资融券,社会服务,教育,教育Ⅲ,AI教育",0.3
300020,下游,ST银江,,下游,,,,,待审核,待审核,待审核,,是,ST银江,"计算机,IT服务,IT服务Ⅲ",下游,否,2023-05-06,是,【人工智能】2023年5月6日投资者关系记录表：公司在AI技术方面有着深厚积累，已经形成了人工智能生态体系，以银江城市大脑为底层技术核心引擎，在Enloop-ana智能中枢、Enloop-hub数据中枢的加持下，不断深化AI技术在G端客户侧的落地应用，并通过AI赋能建设运营服务，致力于提供综合解决方案。,"ST板块,家庭医生,共同富裕示范区,数字经济,数字孪生,数据要素,数字乡村,智慧城市,华为鲲鹏,智慧政务,区块链,人工智能,创投,元宇宙,车联网(车路协同),百度概念,ETC,智能医疗,机器人概念,阿里巴巴概念,无人驾驶,华为概念,东数西算(算力),数据中心(AIDC),计算机,IT服务,IT服务Ⅲ",0.3
300036,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
300058,下游,,,下游,,,,,待审核,待审核,待审核,,否,,,,否,,待核验,,,
